Month,Day,Weekday,Hour,Accident_Duration(min)_standardized,Distance(mi)_standardized,Temperature(F)_standardized,Humidity(%)_standardized,Pressure(in)_standardized,Visibility(mi)_standardized,Wind_Speed(mph)_standardized,Precipitation(in)_standardized,Longitude_standardized,Latitude_standardized,Street_frequency-encoded,City_frequency-encoded,County_frequency-encoded,Zipcode_frequency-encoded,Source_label-encoded,State_label-encoded,Timezone_label-encoded,Wind_Direction_label-encoded,Weather_Condition_label-encoded,Crossing_label-encoded,Junction_label-encoded,Station_label-encoded,Stop_label-encoded,Traffic_Signal_label-encoded,Sunrise_Sunset_label-encoded,Civil_Twilight_label-encoded,Nautical_Twilight_label-encoded,Astronomical_Twilight_label-encoded,Year_label-encoded
9,29,4,11,-0.24931760556889637,3.791160603617501,-0.22942588972338487,-0.13356895780093464,1.4225064713498927,0.3424594946260341,-0.04596250212110554,-0.0747687294803286,0.03696824456809377,1.8490230942387076,1.214685496465434,3.417771242364062,1.553053195759514,0.8927856439194383,1,21,0,2,1,0,0,0,0,0,0,0,0,0,1
4,6,5,0,1.6972970635239302,3.839718244850646,-0.3428405833723273,0.9564951689848716,0.19455800674593104,0.3424594946260341,-1.62089116725494,-0.0747687294803286,-1.418842584109886,-0.34222714251296577,6.0318325238012935,5.166284033806421,4.40595014571415,2.6649347033280835,1,3,3,0,0,0,0,0,0,0,1,1,1,1,3
9,24,1,9,-0.8880505438649801,-0.5304735181015928,1.1882577808883954,0.2752050897437427,0.09824832324758347,0.3424594946260341,0.2051130821755926,-0.0747687294803286,0.0016729875530624091,-0.6558540124709997,2.217531157053036,2.5927688831565354,1.159478856294141,0.8096263081429467,1,16,0,4,0,0,0,0,0,0,0,0,0,0,3
12,23,3,17,-0.23882937998111176,-0.5304735181015928,-0.7397920111436257,-1.3144717618188915,-1.442706612726012,0.3424594946260341,-0.25138798018204056,-0.0747687294803286,0.659731115248366,-0.19415621136994968,3.452671574500383,3.8568634686064884,2.5976181327761445,2.715188535317434,1,38,1,5,0,1,0,0,0,1,1,0,0,0,5
9,30,2,1,0.0932977636320681,-0.29739661790304417,-0.6830846643191545,1.183591862065248,0.24271284849510483,-1.2354500801243327,-1.62089116725494,-0.0747687294803286,0.4448479727477315,-1.0519340449172538,1.0017633954086396,0.6386807401942576,0.4468791408285206,0.8096263081429467,0,8,0,0,0,0,0,0,0,0,1,1,1,1,4
9,6,3,8,-0.8768631032380098,-0.5304735181015928,1.0181357404149818,0.3660437669758932,0.84464837035979,0.3424594946260341,1.0039899413014506,-0.0747687294803286,1.304317237455974,1.3606477119561073,3.452671574500383,0.7750445605283249,2.032119814044672,1.145304485076088,1,17,1,4,0,0,1,0,0,0,0,0,0,0,2
6,28,4,17,0.06987405981934895,-0.5304735181015928,1.4717945150107514,-1.1782137459706656,0.7242612659868513,0.3424594946260341,0.6616141445332258,-0.0747687294803286,1.1446219662563248,1.0190836631681712,2.2407110065093954,1.647349040685621,1.3260762635651206,0.6191557647866494,1,29,1,7,0,0,0,0,0,0,0,0,0,0,3
7,28,3,8,-0.8681229152481893,-0.5304735181015928,0.9614283935905105,-1.405310439051042,-0.35922267336958036,0.3424594946260341,-0.25138798018204056,-0.0747687294803286,-1.5388283607777777,0.17509210098885225,0.35821266705689175,0.19297503852897133,1.991280014157586,0.3290942195057473,2,3,3,4,0,0,0,0,0,0,0,0,0,0,6
7,12,4,16,-0.9128726777560703,0.6931802079407877,1.4717945150107514,-0.49692366672953675,-1.418629191851421,0.3424594946260341,-0.023137449003223964,-0.0747687294803286,0.8933944992810864,0.4800483587711322,1.7089363257509278,0.33962425326524004,0.5463860483955414,0.24121617396874295,0,43,1,2,0,0,0,0,0,1,0,0,0,0,3
8,24,1,18,1.061360985384589,0.6009206016121955,1.1315504340639242,0.3660437669758932,0.5316418989901561,0.3424594946260341,-0.4796385113608571,-0.0747687294803286,1.0829292146139347,0.5349799598669408,0.1950608437950309,0.06189981365359285,0.320662362165037,0.11056830407242922,0,7,1,5,0,0,0,0,0,0,0,0,0,0,5
12,20,0,7,0.12056715016030807,0.5620744515791041,-1.8172316008085787,0.13894707389551691,1.3261967878515366,0.3424594946260341,0.6616141445332258,-0.0747687294803286,1.0055657891110998,0.488171319795426,0.73088827286364,0.04168930186366947,0.08698017582206474,0.07505344265883762,0,18,1,3,0,0,0,0,0,0,1,0,0,0,5
8,23,1,13,1.7539334816979668,2.727747315923952,0.848013699941568,-0.8148590370420635,0.45940963636639115,0.3424594946260341,-0.4796385113608571,-0.0747687294803286,-1.6110843267521808,1.9751714502159412,1.2766522465023282,0.6498564275160148,0.19430375515280934,0.9842288868920911,0,35,3,8,0,1,0,0,0,1,0,0,0,0,6
5,24,1,8,-0.8684725227677822,-0.5304735181015928,-0.17271854289891367,-0.49692366672953675,-0.43145493599334533,0.3424594946260341,-0.023137449003223964,-0.0747687294803286,0.3367430897853086,1.2022988622942772,1.214685496465434,1.5838976874627073,1.9461084941169926,1.6942716183790434,1,12,0,8,1,0,0,0,0,0,0,0,0,0,6
6,2,2,6,0.13839713365954182,-0.5304735181015928,0.7913063531170969,0.8202371531366458,0.5557193198647388,0.3424594946260341,1.8028668004273087,-0.0747687294803286,0.7909880801358963,-1.9399404297121603,2.038220107892723,2.2879449239960645,2.2085402899386124,2.1651872621178008,1,8,1,1,1,0,0,0,0,0,0,0,0,0,5
6,13,5,11,-0.9506302898720949,-0.23912739285340703,-0.22942588972338487,0.13894707389551691,0.3871773737426348,0.3424594946260341,-0.25138798018204056,-0.0747687294803286,-1.6581852080585417,2.35619963926966,1.6277322900630347,3.7139689023193574,2.3968934906365154,1.6652125157681856,0,45,3,1,1,1,0,0,0,1,0,0,0,0,4
10,12,1,7,-0.4559356496482535,2.193612752968945,-0.11601119607444245,1.2744305392973985,-2.405803447709505,0.3424594946260341,-1.62089116725494,-0.0747687294803286,0.9440493630407215,1.0159980970079228,0.4984421431643477,0.10113523507007256,0.5630843071697315,0.17802433155558764,0,36,1,0,1,0,0,0,0,0,1,0,0,0,5
7,2,1,14,-0.8793103558751596,0.4309686952174205,1.5285018618352226,-0.724020359809913,-1.514938875349777,0.3424594946260341,1.574616269248492,-0.0747687294803286,0.34069572135791343,1.2126701802276452,3.2237882384486745,1.1935609487166607,2.408077438807185,1.0269946972706725,0,12,0,7,1,0,1,0,0,0,0,0,0,0,3
5,27,4,4,-0.26155386875464515,-0.5304735181015928,0.848013699941568,0.8202371531366458,0.48348705724098234,0.3424594946260341,1.574616269248492,-0.0747687294803286,0.7016942201789341,-1.1131186272874678,2.389469595545122,1.3092045978357068,0.9182451770906197,1.5562911869999714,1,8,1,5,1,1,0,0,0,1,1,1,1,1,6
7,27,1,18,-0.8803591784339381,0.9893821019431099,1.1315504340639242,0.502301782824119,0.57979674073933,0.3424594946260341,0.4333636133544092,-0.0747687294803286,0.7813222328701411,-1.996821270615411,0.73088827286364,5.269249391113456,3.816666533551717,2.9176585387929697,0,8,1,4,1,1,0,0,0,0,0,0,0,0,5
8,27,5,13,1.1263879840288538,-0.171146630295497,1.5285018618352226,-0.9056977142742141,-1.6112485588481247,0.3424594946260341,1.3463657380696754,-0.0747687294803286,-0.04584652179119756,0.6617357107576082,2.4282019663364833,3.327263316920892,1.8790089584961178,1.8888569197242262,0,22,0,5,0,0,0,0,0,0,0,0,0,0,6
7,21,3,8,-0.868822130287375,-0.5304735181015928,0.6211843126436832,0.8656564917527211,-2.237261501587401,0.3424594946260341,0.2051130821755926,-0.0747687294803286,0.6194806218024812,0.8480739154681352,1.2766522465023282,0.4126697883177731,1.7269938534146816,0.5541418018189812,1,33,1,4,0,0,0,0,0,0,0,0,0,0,6
9,25,2,4,1.0162616153571151,-0.5304735181015928,0.6211843126436832,0.7293984759044952,-0.11844846462370287,0.3424594946260341,-1.62089116725494,-0.0747687294803286,0.4558360294905696,-1.007878795689395,2.065889862552013,0.210372564643606,0.10022088653297256,0.4354072038297729,1,8,0,0,0,0,0,0,0,0,1,1,1,1,3
8,13,5,11,-0.8754646731596385,-0.5304735181015928,0.7345990062926256,-1.4961491162831924,0.7964935286106163,0.3424594946260341,-0.023137449003223964,-0.0747687294803286,1.1304781696317816,0.9522771927959027,2.842223802114487,0.671839952009992,2.032119814044672,1.0129416640771987,1,29,1,1,1,0,0,0,0,0,0,0,0,0,6
5,11,2,8,1.3599258071168578,0.5669302203332405,-0.11601119607444245,-1.768665147979644,1.2058096834786063,0.3424594946260341,2.0311173316061253,-0.0747687294803286,1.1351446409954278,0.977906868392374,1.1486237159091313,1.4333658535936213,1.343299872111712,1.5143247049924664,0,29,1,2,1,0,0,0,0,0,0,0,0,0,6
1,9,5,13,3.540078299297689,0.2221706387895539,-1.0233287452659818,-0.8148590370420635,-1.900177609343176,0.3424594946260341,-0.023137449003223964,-0.0747687294803286,0.778929408902124,0.08227160348472567,0.35821266705689175,0.06189981365359285,0.6445426554930823,0.11056830407242922,0,25,1,8,0,0,0,0,0,0,0,0,0,0,5
2,21,0,14,1.3749589304593492,0.26587255757678124,-0.059303849249971244,-1.5415684548992676,0.7964935286106163,0.3424594946260341,-0.023137449003223964,-0.0747687294803286,0.9392213760592342,0.34481377318066164,0.4984421431643477,1.6953619320740196,1.4339331226092695,1.1328293023469262,0,43,1,8,0,0,0,0,0,0,0,0,0,0,6
12,2,2,4,1.4081716448206674,-0.31681969291958995,-2.100768334930935,0.6839791372884201,-2.74288733995373,0.3424594946260341,0.4333636133544092,-0.0747687294803286,0.6354706679687542,0.18687874864346107,0.1950608437950309,0.10113523507007256,0.5033781927961879,0.17802433155558764,0,43,1,7,1,0,0,0,0,0,1,1,1,1,4
8,23,4,14,-0.872667813002896,-0.2342716240992706,0.7913063531170969,-0.542343005345612,0.07417090237299229,0.3424594946260341,0.2051130821755926,-0.0747687294803286,-1.6601372180965281,0.3427671510411957,1.74719236692373,2.077134207920289,1.7625508296294288,1.9571972209620103,0,3,3,4,0,0,0,1,0,0,0,0,0,0,3
8,12,4,7,-0.8719685979637102,-0.5304735181015928,0.4510622721702696,-0.22440763503308517,0.3390225319934524,0.3424594946260341,1.1181152068908589,-0.0747687294803286,1.059146286719396,0.8007990749073247,0.35821266705689175,2.2116715169292562,1.132906220420195,0.5762861052486977,1,7,1,2,0,0,0,1,0,0,0,0,0,0,6
4,5,6,11,-1.1796232152053927,-0.5304735181015928,-0.5696699706702121,0.9110758303687964,-0.21475814812205046,-2.024404867499516,1.1181152068908589,2.3443723933413882,-1.6513575287944624,0.3962079461297985,4.725481402305212,3.2714961668294777,2.843287404862973,1.5228600795456162,0,3,3,5,4,0,0,0,0,0,0,0,0,0,4
10,17,3,16,-0.24372388525541125,-0.5304735181015928,-0.5129626238457409,-0.9511170528902894,-1.2982420874784906,0.3424594946260341,1.574616269248492,-0.0747687294803286,0.6235536495907581,1.3078543401014624,2.009762897536131,3.3079797509564663,2.1231287502556486,0.7743244880008561,1,20,1,4,1,0,0,0,0,0,0,0,0,0,3
5,19,1,13,-1.1796232152053927,-0.5304735181015928,0.1675255380479136,-0.6331816825777625,0.5316418989901561,0.3424594946260341,2.259367862784942,-0.0747687294803286,-1.6169566187766033,0.17710168199589246,5.18807461595897,2.263899045049249,1.5225964385331225,1.2510862027674623,0,3,3,4,0,0,1,0,0,0,0,0,0,0,4
